@RELATION JDT_R2_0

@ATTRIBUTE module {File,org.eclipse.jdt.core/antadapter/org/eclipse/jdt/core/JDTCompilerAdapter.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/ClasspathDirectory.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/ClasspathJar.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/CompilationUnit.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/FileFinder.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/FileSystem.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/Main.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionNodeFound.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnArgumentName.java,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/Nema_me_u_drugoj.java}
@ATTRIBUTE loc REAL
@ATTRIBUTE sloc_p REAL
@ATTRIBUTE sloc_l REAL
@ATTRIBUTE mvg REAL
@ATTRIBUTE bloc REAL
@ATTRIBUTE c_sloc REAL
@ATTRIBUTE cloc REAL
@ATTRIBUTE cword REAL
@ATTRIBUTE hcloc REAL
@ATTRIBUTE hcword REAL
@ATTRIBUTE no_methods REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE avcc REAL
@ATTRIBUTE nos REAL
@ATTRIBUTE hbug REAL
@ATTRIBUTE heff REAL
@ATTRIBUTE uwcs REAL
@ATTRIBUTE inst REAL
@ATTRIBUTE pack REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE mi REAL
@ATTRIBUTE ccml REAL
@ATTRIBUTE nloc REAL
@ATTRIBUTE f_in REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE minc REAL
@ATTRIBUTE s_r REAL
@ATTRIBUTE r_r REAL
@ATTRIBUTE coh REAL
@ATTRIBUTE lmc REAL
@ATTRIBUTE lcom2 REAL
@ATTRIBUTE maxcc REAL
@ATTRIBUTE hvol REAL
@ATTRIBUTE hier REAL
@ATTRIBUTE nqu REAL
@ATTRIBUTE fout REAL
@ATTRIBUTE six REAL
@ATTRIBUTE ext REAL
@ATTRIBUTE nsup REAL
@ATTRIBUTE tcc REAL
@ATTRIBUTE nsub REAL
@ATTRIBUTE mpc REAL
@ATTRIBUTE nco REAL
@ATTRIBUTE intr REAL
@ATTRIBUTE ccom REAL
@ATTRIBUTE hlth REAL
@ATTRIBUTE mod REAL
@ATTRIBUTE bug_cnt REAL

@DATA

org.eclipse.jdt.core/antadapter/org/eclipse/jdt/core/JDTCompilerAdapter.java,231,108,89,17,26,24,97,419,10,57,3,1,6.67,77,1.18,63261.4,4,1,10,3,0,78.6,111,97,0,1,84.37,0,0.5,0.33,2,4,12,3537.91,2,1,0,0,0,1,20,0,0,2,0,46,594,1,3
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/ClasspathDirectory.java,117,93,71,29,12,11,12,126,10,59,8,0.16,3.5,65,1.05,62538.4,15,7,4,8,0,156.37,13,87,0,1,106.37,0,0,0.29,1,10,10,3163.98,0,3,0,0,0,0,28,0,0,5,1,13,599,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/ClasspathJar.java,78,57,46,10,9,4,12,86,10,59,6,0.2,2.5,39,0.45,15084.6,9,3,8,6,0,164.99,6,48,0,1,114.99,0,0,0.5,0,10,5,1352.22,0,2,0,0,0,0,15,0,0,4,1,6,282,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/CompilationUnit.java,74,53,38,13,9,5,12,76,10,59,6,0.2,2.17,33,0.43,19433.6,10,4,4,6,0,167.11,10,48,0,1,117.11,0,0,0.42,0,10,6,1296.89,0,1,0,0,0,0,13,0,0,5,1,10,270,1,2
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/FileFinder.java,49,36,26,8,3,1,10,60,10,59,2,0.67,5,27,0.41,19954.8,5,3,1,2,0,97.59,1,34,0,1,97.59,0,0,0.67,1,0,8,1239.15,0,0,0,0,0,0,10,0,0,2,0,1,236,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/FileSystem.java,169,143,93,42,8,8,18,149,10,59,9,0.25,5,100,1.71,181212,11,2,6,9,0,147.89,12,132,0,1,97.89,0,0,0.28,2,18,16,5139.33,0,4,0,0,0,0,45,0,0,5,1,9,940,1,1
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/Main.java,1288,1127,745,185,67,143,94,638,10,59,22,0.06,9.05,672,12.46,2658510,50,28,30,23,2,25.37,216,1032,2,1,75.37,0,0,0.09,9,162,120,37392.2,0,10,0,0,1,0,199,0,1,12,1,179,5300,1,6
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionNodeFound.java,33,20,16,0,3,1,10,67,10,59,3,0,1,12,0.09,1052.03,6,3,3,3,0,128.5,1,16,0,1,128.5,0,0.5,0.33,0,3,1,260.82,0,0,0,0,0,1,3,0,0,3,0,1,73,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnArgumentName.java,51,32,27,3,9,5,10,64,10,59,4,0.17,1.5,20,0.24,5501.31,6,2,6,5,0,170.12,5,25,0,1,120.12,0,0.5,0.38,0,8,3,714.3,3,1,0,0,1,1,6,0,1,3,0,5,162,1,1
